TCGA-BH-A0HX-01A-21R-A056-07	TCGA-AO-A0J7-01A-11R-A034-07	TCGA-A2-A25F-01A-11R-A169-07	TCGA-AR-A0U3-01A-11R-A109-07	TCGA-A2-A259-01A-11R-A16F-07	TCGA-AN-A0AJ-01A-11R-A00Z-07	TCGA-E9-A6HE-01A-11R-A31O-07	TCGA-EW-A1P3-01A-11R-A144-07	TCGA-E2-A1LI-01A-12R-A157-07	TCGA-HN-A2OB-01A-21R-A27Q-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-E9-A227-01A-11R-A157-07	TCGA-E2-A1IL-01A-11R-A14D-07	TCGA-C8-A1HK-01A-21R-A13Q-07	TCGA-AC-A7VC-01A-11R-A352-07	TCGA-OL-A66H-01A-11R-A29R-07	TCGA-A8-A0A2-01A-11R-A034-07	TCGA-E2-A15R-01A-11R-A115-07	TCGA-A2-A3XX-01A-21R-A239-07	TCGA-D8-A13Y-01A-11R-A115-07	TCGA-AN-A0XV-01A-11R-A109-07	TCGA-AO-A128-01A-11R-A10J-07	TCGA-A8-A09M-01A-11R-A00Z-07	TCGA-AO-A03T-01A-21R-A034-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E2-A56Z-01A-12R-A29R-07	TCGA-BH-A0HO-01A-11R-A034-07	TCGA-A2-A25B-01A-11R-A169-07	TCGA-A2-A1FW-01A-11R-A13Q-07	TCGA-AO-A1KP-01A-11R-A13Q-07	TCGA-BH-A0B3-01A-11R-A056-07	TCGA-BH-A1F6-01A-11R-A13Q-07	TCGA-EW-A1P6-01A-11R-A144-07	TCGA-A8-A08B-01A-11R-A00Z-07	TCGA-B6-A409-01A-11R-A24H-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-A7-A2KD-01A-31R-A21T-07	TCGA-C8-A278-01A-11R-A169-07	TCGA-AQ-A54N-01A-11R-A266-07	TCGA-AC-A2FO-01A-11R-A180-07	TCGA-A2-A4S3-01A-21R-A266-07	TCGA-AO-A1KQ-01A-11R-A13Q-07	TCGA-AO-A12B-01A-11R-A10J-07	TCGA-A8-A07O-01A-11R-A00Z-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-A8-A09T-01A-11R-A00Z-07	TCGA-A8-A0A7-01A-11R-A00Z-07	TCGA-A8-A07I-01A-11R-A00Z-07	TCGA-EW-A3E8-01B-11R-A24H-07	TCGA-AC-A3W7-01A-11R-A22K-07	TCGA-D8-A143-01A-11R-A115-07	TCGA-BH-A18F-01A-11R-A12D-07	TCGA-BH-A0W4-01A-11R-A109-07	TCGA-D8-A1XS-01A-11R-A14M-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-A2-A3XS-01A-11R-A22U-07	TCGA-A8-A07S-01A-11R-A034-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-BH-A0HB-01A-11R-A056-07	TCGA-D8-A1XG-01A-11R-A14D-07	TCGA-AN-A0XN-01A-21R-A109-07	TCGA-D8-A1JD-01A-11R-A13Q-07	TCGA-A8-A08L-01A-11R-A00Z-07	TCGA-GM-A2DN-01A-11R-A180-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-D8-A146-01A-31R-A115-07	TCGA-A7-A3RF-01A-11R-A22K-07	TCGA-A8-A06N-01A-11R-A00Z-07	TCGA-D8-A141-01A-11R-A115-07	TCGA-AN-A041-01A-11R-A034-07	TCGA-A7-A26J-01A-11R-A277-07	TCGA-E2-A106-01A-11R-A10J-07	TCGA-C8-A135-01A-11R-A115-07	TCGA-BH-A0GY-01A-11R-A056-07	TCGA-D8-A4Z1-01A-21R-A266-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-A2-A0CP-01A-11R-A034-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-Z7-A8R5-01A-42R-A41B-07	TCGA-AC-A3TN-01A-11R-A22K-07	TCGA-AO-A0JF-01A-11R-A056-07	TCGA-AC-A2QH-01B-04R-A22O-07	TCGA-C8-A12V-01A-11R-A115-07	TCGA-AR-A24S-01A-11R-A169-07	TCGA-A8-A08Z-01A-21R-A00Z-07	TCGA-B6-A1KI-01A-11R-A14M-07	TCGA-LL-A9Q3-01A-11R-A41B-07	TCGA-A8-A08F-01A-11R-A00Z-07	TCGA-D8-A1Y1-01A-21R-A14M-07	TCGA-GM-A2DL-01A-11R-A18M-07	TCGA-AO-A03U-01B-21R-A10J-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-D8-A73U-01A-11R-A33J-07	TCGA-AN-A0XR-01A-11R-A109-07	TCGA-AN-A0FY-01A-11R-A034-07	TCGA-AN-A0AK-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-A8-A08R-01A-11R-A034-07	TCGA-D8-A3Z6-01A-11R-A239-07	TCGA-A1-A0SP-01A-11R-A084-07 
ENSG00000143153.12	785800	404418	536557	1603776	1419802	343348	1493092	2296144	1736026	1148442	3707500	2324585	972037	1367592	158491	345168	4025239	2093127	3330131	1228276	350709	767198	1358613	981896	652971	543126	1520870	1957607	311614	2580486	2430959	848061	160552	338543	3260982	3591603	1148316	645010	453389	550998	93222	564022	805179	876157	1484478	619797	810890	57931	306201	1072097	1632890	2012777	2396768	1373754	3061851	611271	5122138	789666	528120	4857806	289234	1789959	488663	3259277	1286022	1136625	520163	1202781	1097041	412405	322697	204947	1087077	636873	441155	382569	501801	1012843	651399	1630456	1695424	483615	942861	764050	966195	5518161	294469	253789	2448996	827571	1025501	2054147	2483923	1684694	1427138	64076	843428	3282820	1753267	710139
ENSG00000006831.9	971775	8248968	1291867	617518	1601760	1390493	540125	400287	604805	387506	911859	2217742	857742	647086	255094	1359392	1516422	1458768	288199	811032	670072	599824	2647079	557701	348647	737194	598972	654885	1468375	639295	557639	388792	469272	285976	296863	1677592	3926017	601923	153709	803906	979043	2392783	410186	908086	279516	380555	730138	698115	662674	319530	646788	574828	1575025	3029644	807150	540369	1055550	297150	1654905	1186096	317414	4022513	452896	453025	729248	2016115	514993	2152721	494378	635515	1966572	653806	615331	622846	380039	5824921	356302	889988	322444	393077	942548	373230	373361	1364377	350223	1155299	270405	597707	1272238	376161	514493	741422	386511	882512	994619	741627	602721	856163	1071799	2107083
ENSG00000086758.15	2097199	2096129	5153623	2080197	3017742	2590863	782559	868742	2475179	1318053	1708093	1799470	2335274	1813684	634293	923931	2993992	5016786	2062427	2837663	1746626	4839135	2007985	785309	671331	745132	3038726	2795814	4392765	1693730	2651979	1901712	1477039	860138	2029795	2981815	1615288	2516457	736654	1643319	1206123	1153149	739587	4120965	534187	951859	2311953	2711425	1750890	2323548	2949723	1880921	2912107	2575328	2597549	2035162	2520521	709649	990954	2440938	1679676	3923878	2909960	1292062	4557588	2470736	1881703	5269813	2192377	2855299	1212468	2154373	1848717	2024816	1185864	2618344	899417	2708427	533124	1082295	2136727	3488227	2258882	3678879	2441672	2950943	700447	3954814	2721490	1131953	3301115	5387037	1193599	1446959	3079257	2985116	2929268	3140448	1732495	2752464
ENSG00000156234.7	11486	400	2214125	23644	115926	227738	215429	8953	256838	1359882	295165	1372926	2895	23859	130527	22037	34229	699	161120	26030	41954	2224871	140253	119422	17645	12518	9225211	28019	30625	29723	101813	27790	28466	38092	8351	5132	163175	982419	10335	62760	106384	190256	2156	43221	297042	1666	698835	33463	344685	1772	125226	24004	5034	32312	47738	60991	7037	54073	109483	100	10087	1110741	92997	361582	112987	59897	480	55650	5326853	8729	8514	116251	11583	49999	51606	5371	9255	229074	77704	3915	6070	1534	851084	77179	9590	21630	2155	112706	2743769	12115	22257	637970	33241	3196	13182	45053	891796	203046	2746	24995
ENSG00000139629.15	998970	813759	228826	1435686	713080	1615796	821749	510568	179906	1046815	974494	2970767	1489665	218976	63061	1342236	3254543	4146168	144695	310281	811479	119621	744126	730636	1072819	1260962	4294064	1555557	1830695	2728512	178264	140608	360915	921011	82181	726555	696112	1315444	213413	1125269	252593	875629	8148	282152	85949	512172	466858	1421525	4700495	2041733	1152208	2804741	2808919	460753	3227720	131137	435908	278260	761696	247763	556003	3108294	1242391	414171	125926	2014837	1682223	4336197	120501	1139355	1359785	813953	1059234	786574	2679212	530510	375468	1779753	934390	3788006	705837	21494	177250	2251106	2459667	3786749	1111581	1188964	1822579	470774	176218	65466	782161	802320	1311798	655806	193501	218549	3365100	352521
ENSG00000091986.15	725981	329746	7906248	189077	2084934	1004246	1205578	493536	272856	3048181	373404	2223108	966437	295088	714502	902409	1299654	853105	404723	299797	2424892	1842776	472547	213216	523890	236935	1025031	710470	1906042	313907	685556	626699	700457	150078	609048	471476	1687936	1453550	2422	3036414	211555	440367	113731	245368	370161	213080	2833839	1180218	2363351	1564936	456358	2746280	1059083	1405426	1515902	904324	519500	988927	596960	449639	1373133	2374041	819969	978433	1572625	1865323	314014	18649	3206705	1499293	858753	231476	711864	609066	2484859	1465447	906680	1967423	678776	637632	5197913	941362	479526	2989630	2972424	1167980	575632	741545	2418715	1167295	1245908	351309	1269140	278285	1178361	155902	420896	1233588	788786	594241
ENSG00000162889.10	1332690	2750895	1344105	974172	1883418	1072861	3272035	969201	1854012	860283	2254078	2623369	1294249	785527	610729	2364265	835005	1782904	2804590	1057946	1049454	1799735	1776511	1688037	356085	1539475	4351078	2340275	367314	711445	1175073	961309	651964	1007025	3208853	1728086	1133777	1799249	577343	1829336	402456	1566841	795593	1268487	783057	569624	1117635	3699035	1149664	2385918	1139959	1839854	1287706	1416236	1192870	1061161	5026609	1032220	1991507	1347464	1176034	1928927	1364401	1108991	1575617	1771275	3879777	177550	2216969	3686320	687951	8016746	1055366	1205052	543002	4373586	1049605	2640096	776611	1887960	1355883	311696	1375539	1163056	2262483	1568787	2533815	816183	2312867	915159	1131123	790112	1393342	2876473	1543781	918751	1352472	1730130	2279442	1368239
ENSG00000143621.16	1084098	1619944	1413914	928959	1350609	5115078	2622474	814865	5989633	798524	3122631	1639348	904575	2176906	1209116	828997	1416319	1701337	4864766	1644561	1367149	1738415	1184441	510690	761056	1054415	1656680	1746127	1194398	1158702	4599917	1859217	798480	976058	4785079	2004294	1239625	2033999	192791	755379	817575	933432	1286049	2577054	704725	522378	910224	838755	1010386	1310643	4320414	1502257	1204393	1867453	1293956	2756015	2243023	1317003	1258208	1451498	828492	1988200	2864792	1496279	4796931	1253806	854704	1867889	1975873	1448977	1447991	1442073	2122068	1237768	532117	3234403	583229	1963291	876394	1155069	1100807	849188	2239040	1477679	1616377	1808907	1238740	1194318	2155943	805130	1019714	1598581	877753	1204206	1701365	1584172	4511074	3818581	1699248	2427627
ENSG00000105568.17	1672585	2414696	1592273	737708	1507508	2534191	2810734	1114946	1827228	1463220	1278809	2038368	1606716	1811299	1594826	2105594	2034024	3275029	3839451	954383	1476717	2093272	1481607	1677419	728400	1805297	2198743	1850718	2155790	1432962	2559057	908293	1169793	629368	2448601	2078703	1344916	1666827	1476147	1931923	1605523	2672442	1337466	1133066	614405	788990	2390702	1564349	2669363	2726797	2121697	1548361	2316063	1534256	1626643	2265839	1767983	1368158	1726183	1095958	1054524	2067889	3563089	1319684	1216088	1513527	8810615	2368213	1642694	1711804	572661	2498718	2053388	2145315	1183534	2235974	1346849	2706440	1463011	2467821	1459891	649376	1342288	1396337	1704652	2205595	7255365	1143219	2815413	1537775	1371393	1423799	1048824	1652535	4742558	2953634	1796965	1194799	1914625	2022133
ENSG00000240342.3	1781889	3684293	2355270	906238	3903872	3369660	5220323	1483905	2060792	2369162	2525619	1674026	852120	1615403	2898447	2386710	1396692	1654485	3389267	1037265	1278473	1371805	2244870	1375437	1304333	1868613	3624088	1212913	1277301	1135578	2203041	2096034	1861446	1010970	3522767	1405124	1068074	2205730	2757379	1420865	2410991	1953811	1248916	8493643	1544228	842040	1525837	748694	3467173	3587256	1818029	2247388	2038065	1884711	1651225	2157083	1838723	1506627	2235616	982914	1283877	3823316	1846198	2682872	1563885	1298461	3429746	1625751	2250083	1500049	1284963	1132289	1628788	1357629	1225128	4097363	3259088	2770595	2387996	1861906	1192995	572279	1261981	2278187	1794958	1377253	3210321	847700	3528052	2690684	1935135	468542	1083760	1389332	2233717	2837427	3029368	1054354	1969111	3656197
ENSG00000146476.10	803153	733110	260629	849960	2204178	1901333	635921	296218	122194	272700	218709	228036	450160	274217	94144	792762	1527786	2207176	105059	705427	1005496	174713	3279156	583559	403709	855655	507892	930803	2751116	2088298	85379	91015	1900954	183820	142412	1149164	946016	229895	26883	1696088	327495	301960	2967384	141558	31926	538562	166633	1397854	521436	350204	203196	274985	1401020	566144	332196	91481	918411	222943	4402709	1817086	741975	1745089	496978	262124	87327	311169	707658	8701985	272323	403889	692882	723095	130150	385491	569334	1413883	125687	501103	161723	900124	572835	38703	122433	1411392	706001	1273283	220773	511178	450559	183657	231117	125459	136037	426848	1005239	2167047	98290	88629	330879	181762
ENSG00000078369.17	2622265	2223888	3685419	1306309	3206094	2361700	2483695	1276875	2797235	1703345	3756683	3429002	1841342	2401470	1813794	2493804	3043150	7234095	2450565	1793655	2503567	3715977	2080986	2142829	2979728	2075864	3393631	3876992	4795458	1169391	2754794	2175434	1613809	939020	3451810	4572797	3351005	2528430	949557	2348660	894129	1669894	2458772	3174100	1724514	1129367	2473434	2744818	3074745	2641417	3218648	2163391	3382478	2830737	1577317	1678398	2890267	1729263	2663092	1837925	1950955	3485041	6340956	1986739	5293541	2632761	4347713	3813286	2831612	3292145	824928	4458635	2147462	1648107	1408188	3604454	1259422	3841699	1185147	2027900	2590040	1583975	2349180	2634310	3254666	2552710	1614136	2609547	3574462	2309291	2853197	3477838	1384356	2526200	4021074	2886331	3508561	2422803	2271450	4840011
ENSG00000122786.19	1751643	917400	4692236	615891	2181546	1755264	965043	883717	1806187	1678738	1174361	2330574	1317591	887178	2009682	745486	1721467	1901096	1442249	1146727	2201657	1174110	725243	698975	978180	517446	1207868	1970774	1268448	834625	2232714	1052701	716367	223845	2061502	939239	2528607	3249381	647796	1738176	513269	625888	499486	1232735	778186	615925	1956730	2058954	1296460	1782189	1269058	1786133	2506780	2844463	1915258	1465714	1220906	2192739	602496	3432060	3687281	3291482	1834982	2199213	7118800	2995830	555476	250223	3333299	4692486	1703470	777101	1183247	1152983	1498837	2177510	1303026	2758081	919475	605407	2834989	519038	1444459	2800397	3936954	2785961	605705	1265556	3122625	1998813	2955589	1913630	1254080	615938	2404672	562653	980906	3537714	1819921	2511512
ENSG00000200087.1	700	3258	3107	1273	8485	19465	4410	1521	2475	2189	4371	1847	1055	2748	4422	1982	2300	2389	3237	276	3973	3194	4032	991	4455	508	1259	2401	2084	2382	286	1662	441	3609	1329	368	2604	3301	2736	1106	3099	2289	657	5938	1547	3143	1072	1465	5039	1200	269	1447	2749	2017	856	1347	1034	327	2347	213	1106	4205	396	2516	3075	1111	969	9682	4219	2168	5663609	503	3176	1171	628	4476	1290	1145	1275	1027	10224	9683113	2559	4719	2643	767	581	1906	2348	4185	967	618	1695	1381	1771	480	1522	3001	4318	1334
ENSG00000125844.15	1963125	1255105	1980807	439162	1082811	1852614	1859309	883205	2639311	1721027	2364408	2642647	1573254	828782	2899784	2155277	1966313	836501	4369972	1067194	1455153	5175172	1127829	1284502	927568	2307167	2076971	903808	521289	388904	2569997	2242795	1112024	984310	5065453	1628043	1395042	2132347	458237	1421916	1048998	1234269	3937385	1670338	2020502	506699	3124048	1933563	2331980	2477872	2121310	2278752	1321448	1542561	2895382	4512845	2823746	3010691	1895408	1950264	779479	2720091	782239	1858592	1180612	3056923	1151768	1427119	1891607	3445490	955987	2150535	3019428	2963814	1202228	2223142	1293916	3898732	1049083	1291008	1502059	1062062	3167827	2343110	1432253	3376337	3078008	1447488	1636339	1725771	4806071	3866124	2453971	1365499	3997809	2550841	887328	5235701	3581247	1634286
ENSG00000198300.12	46606	6382	61281	27094	572238	5919	88686	17849	5366075	288400	26465	64367	34016	2733	20631	7663	86785	526594	1266971	851595	26628	5358608	7254	50767	5900	6453	15307	13300	27563	824913	3995	2894335	134125	151292	1076962	15626	538887	17123	383	149460	64575	1218558	741638	5140	136787	40134	61398	11704	35830	119282	3392	43487	87164	368230	72711	10616	10626	208135	8568	182525	319027	249497	9118	12294	22561	40735	20364	7367135	40070	39620	49888	11857	28282	2161732	78611	18337	18978	44354	19969	8294	65629	18126	35204	73157	47454	40867	12920	97298	57304	21356	73079	2473	19571	2608	2142024	2897	955351	11588	31212	6868
ENSG00000007062.11	3333	24964	534926	11259	214106	19735	23800	8389	6663952	83427	3119571	23061	53896	384878	3160	7697	20458	35023	4543530	669	19867	176553	3771	68238	12625	2384	5496	2070	34434	284869	1281041	2386187	552558	975247	1981043	140091	776461	5979	1016802	24995	7662	4085	197	1291967	1192080	46683	30031	12124	21506	100975	1138840	84794	54605	97315	115238	1867940	12498	793611	11588	58408	378952	1292714	2970	1157749	4013561	52621	2516	1897	70981	9878	56524	7598	568467	60176	162071	494	128421	13743	341828	11979	16691	522232	449445	1263881	2553275	179988	18584	99	815456	5466	1644826	3008586	13733	1218	387511	99	2112816	3115597	138618	2242972
ENSG00000173369.15	297649	171831	4778754	192927	342647	1748130	1135046	157401	334011	407979	2506422	611089	171034	288087	309201	1773896	818788	162872	789291	138172	219831	8873475	1177475	294273	442673	253901	1179045	480917	524648	63996	1215696	1661882	206163	157335	499903	164836	1037793	1978778	304858	757200	478613	766071	353533	323910	959600	141892	2211460	695069	953047	319955	359159	284709	210707	442383	331008	669228	499160	1003204	796498	474682	444597	1229451	979537	876668	977016	427059	502207	388606	995438	310539	411516	124792	502351	259319	246709	872761	189976	1795755	807807	376656	571481	64794	2864433	1927992	1123218	154279	715696	1439010	1068337	400349	2677911	1160577	3191221	160030	474939	680262	1547142	2040075	422259	776361
ENSG00000182670.13	958942	1509095	1790717	1968198	1924287	2351543	1018590	839037	1305428	1830099	816902	1770952	2081956	2872560	869743	1276519	2230696	4677815	1387857	2112395	1499381	2052046	1267319	678481	414857	1166843	2466643	1399646	4717830	2288285	852598	684279	1082354	1163647	1685636	1868762	1583817	4813954	977584	2037977	1234216	681444	1405354	633218	624659	696649	1093145	1344576	2414014	2528158	707098	1802690	3008511	3737312	1880746	1486483	2216742	876171	795619	3202033	1295539	1994697	5594452	1098732	1372598	2778679	2073483	2776474	2205408	2447039	1941754	1960299	7052365	1667062	1242922	1540263	822360	1362011	707447	1147052	2546949	3148977	870052	3894880	2329495	3124127	883676	1426017	1674058	624495	1485052	764168	1173998	1253824	2545434	2319090	1616747	1910609	1468447	1448366
ENSG00000112996.10	959596	275881	257835	307977	285168	439409	946255	1309248	148754	257206	159189	471146	675213	292363	108711	1895011	1406792	7399028	153388	292475	612636	176032	2460450	1609056	125569	487956	2111552	643467	728565	443969	67229	223783	275762	95902	322800	4685804	509087	383146	177261	1055092	352018	421373	4277082	483796	77968	263736	206073	177257	339125	203667	132006	216942	338868	448987	433595	135477	1074131	184125	3116115	2492543	425356	321964	272332	861373	128098	482570	3590210	862845	251857	213744	1077114	1367806	207767	178637	270575	247384	502198	526637	151463	212418	791685	187679	121652	170818	379197	2989690	306874	2409468	354623	188086	190508	183118	136236	520163	310830	581211	158796	170531	148748	408697
ENSG00000229776.1	326401	139343	106325	907324	499217	417433	1712542	632672	37397	1626866	35115	2083953	1700123	108507	89228	645379	2791791	61161	41341	116728	846765	1434107	2322457	518349	666122	142558	709905	266688	604387	73307	78714	44978	199812	184399	494440	1121932	935761	173654	262633	478164	82907	92650	654465	18491	99423	252639	266775	221624	4500489	1995138	43224	924034	2085495	152692	753049	64052	2049936	473806	109585	1641963	1013077	741951	105628	1636769	39244	888739	247905	113369	928532	53359	386160	876664	79627	418029	216217	193613	1255439	112610	1441645	6936570	1326603	12468	101705	330343	884278	4463103	228564	1219410	31872	289633	475662	173356	979271	4305316	476008	7952	219785	45362	2643758	30828
ENSG00000182871.14	1661738	986652	1579493	396563	1201727	697215	2944200	1083621	430435	3852340	790369	1506381	1526284	288047	7388856	1218354	886102	1233140	2035505	712333	1231025	1647660	611388	498023	891940	1119886	834259	493718	259923	231435	1891489	713714	588799	409790	2208837	605764	1721425	580478	1316206	1146518	848186	594547	1608616	2297210	545043	396107	775555	1285880	3446580	4550366	1092569	1561350	2493307	959017	1297570	1939430	966494	1993947	724432	2053009	2113558	1529701	2535226	1779071	1070042	2453444	2128476	302767	2699443	2662785	560008	1289165	1857082	1202065	1216248	1554437	1470565	2023036	1435595	2780241	1709049	953095	1213399	747116	1751403	3536329	1707302	872222	1082972	1007300	2309958	594771	1739551	827436	1699495	766243	524279	645710	5858220	1105776
ENSG00000179593.15	14252	10436	101912	16050	16284	224395	225017	352421	12285	1243428	37294	349465	33125	590198	2427	9527	17673	2302578	33692	10163	9640	13927	8427	110338	41805	6542	109981	7024	50136	47340	12640	11293	28948	71351	2352	2187	94493	655745	3784	163741	13448	390038	17562	27054	6492	19896	91858	7781	126857	27470	8021	13594	51926	2508058	10510032	5135	6159	382045	21374	10755	150683	34318	19987	82172	9466	43584	16292	5391	38845	18780	4165	11685	1324984	16090	1016706	43363	58291	40161	119181	31190	5852	3355	9676	109789	49439	6009	8061	21702	91337	13827	17709	3698	82904	5204	25154	9869	3230	28887	26822	13031
ENSG00000106483.11	747634	55564	3939550	52603	1206587	188178	1266668	308904	186178	1236454	107818	745490	301964	374538	9552614	241214	553566	226380	161628	83051	1614394	125935	338219	78470	122859	370837	547297	619787	636810	180724	83783	276438	671019	63416	125841	119461	652721	464050	2365	844464	172413	481998	127922	6710	108369	73023	1591653	212877	2845886	723560	119699	1982825	459217	496416	439301	318729	204415	203804	393332	94853	1107524	773942	990298	830648	343896	1146091	181096	1659	1475304	189363	275410	76453	213816	462598	1174680	394216	646064	1285331	497306	468898	2594189	83691	278747	1952910	1059843	560515	763406	273428	1180739	1065091	498029	100479	1738779	65444	810364	70330	118798	174258	324833	248252
ENSG00000108946.14	2819877	1304748	2946650	1063431	1669197	1982125	1019118	804426	1134873	1313345	1466936	1885351	1316658	1819825	741607	1463562	2596359	4272815	999123	4014341	1766187	1671788	2258750	1996726	704998	1847996	2563851	4075928	7352829	1957688	1178852	881286	877316	221334	933211	2587441	3947166	1305907	209744	2335567	1037348	1221983	1473130	1794868	353172	761844	1571027	1700616	1751094	1111244	1908269	1218344	2322314	3422951	1658329	1003267	1570733	1025642	1018165	1866853	1332736	2706904	3099112	1381821	1062839	2155510	2071157	5282643	1665365	2741877	2458919	2444598	1033509	1372570	1010458	4664009	605539	2968045	663357	882965	2161828	2049487	1380997	1957881	1996949	2000795	1168348	1742690	1731369	1206079	2563300	3728773	740176	899450	1901146	1449638	1568834	1583422	1992652	1306321
ENSG00000147403.16	2642953	5804075	4104266	1431788	3141577	3969548	5418069	2193249	2379467	2868818	3754044	4224943	1405091	2147933	3716003	2382487	3157514	1911637	2263338	1583305	2965642	3454107	3294693	2782286	1734452	3019137	5022665	2212373	2770495	2884230	2294958	2594345	1585987	1209440	3238171	3776438	2574779	2949322	2974956	2187885	1448116	4001955	2020039	1992898	1344620	985394	3004894	1069487	5026724	4274325	2419956	2441609	3611229	2202641	1705339	3886923	3076020	2839439	2826777	1809675	2219144	5764454	2228189	3046602	1975291	2172752	3999843	2501772	3132226	2365074	1413397	1529171	2910840	1593623	2007719	5058988	2942488	2437213	4610280	4597478	2258999	1671463	3421037	4304084	2532113	3482320	3459333	1632024	4953018	3942685	3128435	723103	2476080	2033514	3580443	1235001	3757096	2073104	2613145	2202341
ENSG00000169245.5	94294	35297	1704513	67510	97921	731578	134045	53376	1918321	18902	1325385	134353	63377	202609	11248	270926	249031	10666	151324	2572	161581	3923418	381059	113637	355446	99462	276986	469447	101026	47478	790044	462752	26861	124839	313848	69065	573813	721890	83045	140078	136841	251283	93633	6066485	345870	50104	1074599	369402	450779	56060	262696	123608	35013	278274	58273	235024	58922	522687	153585	33865	155062	296758	361411	1081299	789197	53672	19861	95786	765787	82290	167248	23410	121064	161300	21701	186789	24832	1130016	11041	38799	59578	7446	1594113	588713	105540	24672	110248	535535	144529	103694	52464	7590338	674055	91726	157510	210878	3455792	1474714	73273	754523
ENSG00000186468.12	2658878	5782423	4016080	1752126	3705230	5087435	3958931	1860069	3167006	2452341	2207205	4101109	1222166	1854881	6362184	2556639	3915832	3767120	1497630	1939389	2726980	1990176	2063968	2546162	1685360	2386968	3727094	1737005	2017858	3676727	1503735	1388098	1545162	1253522	2808615	2327922	2535791	2659217	2499752	2632200	746969	2470276	3674746	2199687	1276740	1157017	2394144	871096	3995268	2414118	889041	2729013	3525200	2436861	2323478	1718007	2674429	2830404	2874988	1556478	1510874	4908135	1332815	2928361	1441358	1624829	2980015	3286088	2387900	2092497	1901126	1988552	2733078	1502523	1505152	3783879	3012529	2484756	3826834	3503183	1800737	911416	1727372	3124539	1809065	3825127	2790600	1161125	5079001	2877386	2323350	478779	1979178	1149928	3191304	2574663	2889522	1132875	1767454	3088018
ENSG00000117298.14	1906823	2385278	1170429	843608	1830131	1072157	896216	2664132	237041	1757540	1068346	3066971	1801208	786905	1285187	1114192	1335786	1272530	731458	601189	1642684	1893625	1749867	1117046	953970	890925	1571165	1603715	2717633	431992	1250505	535256	691509	229807	815198	3597439	1136716	1454517	415638	1846179	709343	740385	4819469	2567455	592404	543441	858307	1285755	2157403	2704138	1891022	1976300	3270922	846422	1140714	1365820	3216270	1277173	1619484	1801353	923020	2386165	2222276	2651818	772421	1965784	1604133	2989750	1507806	3493304	379331	2164165	1277073	1276475	1917008	7657855	1288223	1528386	1003033	2283314	1662796	167048	1165103	1368675	1826923	2119849	1408735	797206	1169638	1330645	2909421	1154462	555413	2676312	3705420	828467	440465	3944871	3453982	1083135
ENSG00000156650.12	919657	1127198	355623	609120	669068	1914494	79301	221895	335011	348669	166090	664252	426940	677208	57481	778023	641884	1733500	105485	166946	390655	373419	417013	296518	258225	349803	786708	716881	9110975	458164	116084	106071	274403	145902	69391	494067	736031	345507	88437	466646	225798	632940	321384	258623	60769	241925	308869	506040	613821	625005	178407	642120	918982	793958	585887	95965	600061	134056	296295	1053521	248630	711771	316657	254161	151910	819067	1311186	6082955	321314	1349003	293839	2641558	298952	200055	336712	450051	145372	540335	81498	290391	407121	387431	153191	1021174	376732	512475	1166566	355985	592420	225178	285971	185866	458607	479329	434959	1042103	228367	240752	439027	160145
ENSG00000170348.8	1992719	3441521	3207773	2170857	3541280	2303700	1792210	1834961	1927122	1380778	3143052	4483529	1634556	1456435	728557	1587315	3344152	3457503	1306970	882195	3040087	2908306	1573178	1088364	1216991	900416	5644605	2311717	2591999	2649535	1609251	1249607	1712908	1053137	1713562	6717600	2412448	2449128	331736	1784713	878480	1181153	3817049	1711092	730810	1233233	2277152	1671214	2247331	1596521	2791923	1895607	3199330	3653826	2360428	1531181	3731838	1300442	1665872	2570686	1953668	4826252	1522487	2592498	1957434	3482919	3476738	3705198	3185069	3408606	1585883	2584701	2458251	2179948	1227114	3472618	1143238	2029614	1037974	1760431	2931401	510515	1866929	3688491	2602552	3139403	1831226	1489758	2930330	1562340	4598045	1609592	1672216	2034290	1549993	2703088	1568553	2316174	3024891	1554605
ENSG00000132746.14	630220	244256	20354	913910	290445	1534724	55953	55588	11635	157457	1321728	458968	479625	6664426	432	501189	129867	77635	39132	64081	120727	108288	233366	714140	793328	42801	247152	214291	4730460	201867	268566	104272	49612	131429	177798	1109172	1243004	1741294	38558	574620	112551	75876	8547	167592	10507	42897	421374	3476405	986610	2693280	59906	650516	1195375	537126	3261654	76396	841252	299503	1332065	758100	123683	299380	2210333	171440	235349	2140336	1535383	1481711	88062	219502	20931	60308	1311573	208742	708158	217653	129568	520383	795076	2356316	825829	100	58124	276441	31794	2792299	837845	917184	35376	141675	11609	25387	167181	1173528	756376	4273920	40474	3075	490694	96786
