OSLO2EMIT0.001	OSLO2EMIT0.002	OSLO2EMIT0.003	OSLO2EMIT0.004	OSLO2EMIT0.005	OSLO2EMIT0.006	OSLO2EMIT0.007	OSLO2EMIT0.008	OSLO2EMIT0.009	OSLO2EMIT0.010	OSLO2EMIT0.011	OSLO2EMIT0.012	OSLO2EMIT0.013	OSLO2EMIT0.014	OSLO2EMIT0.015	OSLO2EMIT0.016	OSLO2EMIT0.017	OSLO2EMIT0.018	OSLO2EMIT0.019	OSLO2EMIT0.020	OSLO2EMIT0.021	OSLO2EMIT0.022	OSLO2EMIT0.023	OSLO2EMIT0.024	OSLO2EMIT0.025	OSLO2EMIT0.026	OSLO2EMIT0.027	OSLO2EMIT0.028	OSLO2EMIT0.029	OSLO2EMIT0.030	OSLO2EMIT0.031	OSLO2EMIT0.032	OSLO2EMIT0.033	OSLO2EMIT0.034	OSLO2EMIT0.035	OSLO2EMIT0.036	OSLO2EMIT0.037	OSLO2EMIT0.038	OSLO2EMIT0.039	OSLO2EMIT0.040	OSLO2EMIT0.041	OSLO2EMIT0.042	OSLO2EMIT0.043	OSLO2EMIT0.044	OSLO2EMIT0.045	OSLO2EMIT0.046	OSLO2EMIT0.047	OSLO2EMIT0.048	OSLO2EMIT0.049	OSLO2EMIT0.050	OSLO2EMIT0.051	OSLO2EMIT0.052	OSLO2EMIT0.053	OSLO2EMIT0.054	OSLO2EMIT0.055	OSLO2EMIT0.056	OSLO2EMIT0.057	OSLO2EMIT0.058	OSLO2EMIT0.059	OSLO2EMIT0.060	OSLO2EMIT0.061	OSLO2EMIT0.062	OSLO2EMIT0.063	OSLO2EMIT0.064	OSLO2EMIT0.065	OSLO2EMIT0.066	OSLO2EMIT0.067	OSLO2EMIT0.068	OSLO2EMIT0.069	OSLO2EMIT0.070	OSLO2EMIT0.071	OSLO2EMIT0.072	OSLO2EMIT0.074	OSLO2EMIT0.075	OSLO2EMIT0.076	OSLO2EMIT0.077	OSLO2EMIT0.078	OSLO2EMIT0.079	OSLO2EMIT0.080	OSLO2EMIT0.081	OSLO2EMIT0.082	OSLO2EMIT0.083	OSLO2EMIT0.084	OSLO2EMIT0.085	OSLO2EMIT0.086	OSLO2EMIT0.087	OSLO2EMIT0.088	OSLO2EMIT0.089	OSLO2EMIT0.090	OSLO2EMIT0.091	OSLO2EMIT0.092	OSLO2EMIT0.093	OSLO2EMIT0.094	OSLO2EMIT0.095	OSLO2EMIT0.096	OSLO2EMIT0.097	OSLO2EMIT0.098	OSLO2EMIT0.099	OSLO2EMIT0.100	OSLO2EMIT0.101	OSLO2EMIT0.102	OSLO2EMIT0.103
ENSG00000003096.14	0.132244231269601	2.09657783683745	2.04263254494157	2.93023487493321	4.84473486549478	2.67571643662323	0.984104523601775	1.56876454387508	3.33412990481039	0.249515871125589	0.338654771736011	2.05047254113578	3.86727319371228	0.763553459291743	2.64700797730544	0.101187346313387	2.25205502740888	0.805056692208011	0.823085384352724	3.20117144197317	2.29606546361756	4.10242714998314	2.73084412329173	1.4154233038517	1.06790430728652	2.03978605010074	0.667549698682353	0.855301734976353	0.739074988352897	0.938690482960748	0.601121916513713	0.0537956700161525	3.0712884899239	0.72488579320833	0.708969618452646	4.33755154034902	1.37562493251302	0.300764334422163	2.35254077850818	1.11229826699483	0.795894084218347	1.5684450672527	0.0537956700161525	0.865290782648117	2.01230234861701	3.25278504333296	3.43212818526849	2.76868337652106	0.1243794687244	0.196282358166625	0.842897468108029	0.66975142930319	0.986594298521062	2.65320037856389	3.04664688474762	1.36833706358567	2.63593900585152	3.09661843782674	2.02418160390671	1.73533774428365	0.255441902384869	0.304903895533874	1.67893187102302	0.249268005392276	2.10696513241915	3.17143414392509	0.282663151416445	0.825555481634504	3.38131962698984	1.67399539256031	0.31762402922233	3.06545105463621	1.27151220255115	0.605797054995068	2.470314721895	0.873224695192315	1.43249178987381	1.96878125604397	1.77729918282312	1.98520687565169	0.369983646088255	2.27133631700201	1.65816631425645	0.473913684947412	1.0136891127407	0.0537956700161525	1.90641357158566	4.91921708742137	0.846763685158049	1.70813722579577	1.23931530163998	0.344116642259781	0.868418334707778	0.917616458170119	2.08780821912317	0.265349323167646	2.59852208107927	1.49996518875834	2.640830378451	1.52395396141264	2.96949601586336	0.649424238815595
ENSG00000004838.13	2.15218505356942	0.461052374084601	3.44444912278901	2.59444240736863	2.00747875661235	3.28037486256074	3.08232381937728	2.00112754929276	2.48909448750401	3.30127399158564	3.01308754777237	0.192974640344067	3.15037022545346	2.42835129875925	2.05640554972145	4.28052906637353	2.37776908683477	1.23462556676421	2.06473953667607	2.48269891184988	1.85386471465984	2.08442156533089	0.671083609809151	1.67643809480505	3.68496297856521	2.34026531453322	1.27700234186176	2.71505270795396	0.349973387537865	2.07824427825667	1.76601017232178	1.19486706514434	0.765966167196466	2.2263582820928	2.57949622919893	1.62882282953011	4.45257835695319	2.63757669718482	1.70984044905381	2.27375170074712	2.37456453713835	0.0241801537244424	2.17001576483488	2.29125117354756	2.20454517409512	2.37043947493167	2.69854812370079	2.93930688389767	2.46311152746281	2.70783188355148	3.06547559449531	4.49615015011731	1.98097928601527	2.06745553575296	2.69097912164399	0.219121225553138	0.48672535647351	3.26766460108053	1.85014211727779	3.88294270832471	3.8620224686271	2.67437033860176	2.61713435158709	3.82394776157104	2.27097663937774	2.38311470179766	0.0524178092842447	1.04058357740145	1.71450894666442	3.8258815748143	2.14235452612031	1.33405603422277	0.467006728652598	0.196106987154646	1.77549923867154	1.99120048652637	2.19737522318588	1.1439472233879	2.18296725433792	2.25353270826588	2.01222083835018	1.7915766226835	0.438572481819607	4.19224227418131	1.60437205159022	0	3.11329215164199	2.25977607059322	2.61956769486436	3.5163683792143	1.54557226133131	5.1399883920135	2.86982684501256	0	0.0792203797013629	2.25244551999773	2.5274928033604	0.468219848937833	1.66660389604198	4.12430395904312	2.01489806872372	1.55185452687771
ENSG00000005102.12	0.609758783873474	0.256387933495348	1.68990236563772	2.21094452549316	2.55969850133462	1.61685109502329	0.840930211030157	3.0522874938243	1.29636669520716	0.72456587112163	0.989248842931331	0.658133353231803	1.37205437566498	0.806628633015497	1.70701090081434	1.31244202011398	2.10446160782919	0.579338245062199	0.0685188812792403	2.80835849384697	0.29776731330651	3.66337151653157	2.49544049839019	0.121500906470094	0.299455594018068	1.74203721104446	2.13305917163087	1.19616718488089	0.872589901739987	1.38052056875201	0.320796008143732	0.211133134433822	0.219985959343256	0.0573897851208455	0.516395927424402	2.32133695427381	0.667049970305466	0.25811531573297	0.634311474875154	2.02141524454008	0.437954282568093	0.304122688932053	1.25695258884097	0.340624884224306	1.48103328792836	1.52255788842388	1.02232747181425	2.32096716510041	0.859656137373496	0.649043158443252	0.399744740255863	0.851363496124899	0.794521700428337	1.12673999398328	2.38404302448123	3.64370983275945	2.68763524240198	1.61019393772157	0.157455030031976	1.00715671416835	0.230376167310465	0.344453920550638	2.89471295901601	0.887409692057063	2.3832237199293	3.54997652870378	0.420032648248718	0.370952084246307	2.93179447902646	1.82428645661648	1.57036053553066	3.07094703985999	0.224408067192718	0.324922476083733	1.41572479291473	2.39398465613579	1.10928807359122	0.898572334526121	0.319897490028695	1.54430299412759	0.328649429429789	3.31119132387755	2.39801329174272	0.357811052476468	0.847939760580501	0.00511121120834931	1.72621493259184	1.6688511059805	1.07778401004489	3.19605429521437	1.78138483888401	0.839756269541797	0.600173334519917	0.660326089285856	0.581818669625311	0.803499287710795	1.41501965004308	0.505383541770401	1.2368174486081	1.15765469012054	2.39957952983912	0.578565175550815
ENSG00000006210.6	1.16201309670849	4.12142223319265	2.56419810098579	4.69190105708363	5.06951957946629	2.52665719890266	2.56382367086661	3.09753733337579	3.49464660595328	1.25248105314438	4.91264715808491	3.25377978648018	2.36433763764731	3.51824001929047	3.4755674601987	1.74069127104814	3.48763716630815	6.25517059942243	1.74880815355464	4.98330509363468	0.987241729417571	5.90965396577686	6.19824771328796	1.76660964045174	1.46930856785031	4.43690914528948	2.63244379134132	3.94974333139248	4.85573213594261	1.65777125059097	1.46239525562028	1.75395906372745	3.49478017638165	1.61489313310998	1.2387271486382	4.56215095685728	3.17284121404122	2.40284824546584	2.14628789059957	3.87610719703547	3.40672831090527	6.41939398218834	2.88360680667835	1.19565438901143	1.41671476765765	4.88204729431783	6.10056207164717	2.50906136756893	3.46967469978286	2.54192274175986	2.01636506101764	2.82403522361801	2.25436864395205	2.90387394401538	4.82904061061814	4.55880364067179	2.71130729966316	3.79797586245997	1.10723105204824	3.35941936129104	2.19656867918517	2.53835693419562	4.61970813484103	2.08732371720289	4.18443266773334	3.70377730268896	5.33171369000495	1.81516388708144	6.89485779116173	4.81500390337399	3.19854005644722	5.674520678567	3.68327472098176	1.78530756495251	3.79131999155034	2.54948594183415	2.0918895372809	2.45003024430027	2.09472753322883	2.50705563626742	2.06222191218437	4.85420460068733	2.83414906873027	2.14323590712437	3.75461943482546	1.73416126733994	1.44408760263551	3.2097211546376	2.33376655020308	2.46817494422509	3.24306607324123	3.05973561535528	2.1003578437709	4.95887136196262	3.3273770207308	2.61759665503149	4.79190353305728	6.59730740307468	5.64281929446622	3.63956665275148	4.17218007391278	1.92812302853906
ENSG00000011426.10	0.95803872469645	5.00362685935358	2.49787405052125	2.51855069508364	1.57144627587585	2.04862492893054	1.65209502175237	1.5777090043909	1.64708991581703	0.987933829229406	2.35666832903769	4.10418833635864	0.842952795802105	3.03455493381208	3.60781916810348	2.93828701477953	0.976380141303946	3.40206075179764	3.18337075060465	1.72611126497557	3.93624198576817	0.528775322708872	1.82507149925987	2.8520758891155	2.14653529229431	1.20239617423975	2.63251255871942	2.79814669149421	4.17897795520008	2.33314637535354	3.89795574616307	1.53627660238462	5.634613208666	1.6757456966845	2.41880543310815	0.804628969669139	3.67988766597357	1.39878208818591	3.63035542630432	0.730978539592852	2.2144821851911	3.38166832169476	1.0559128233003	3.35255606314141	3.2427724749515	2.63571591436217	0.92469990680419	4.42845625526861	1.6497674226894	2.64882877348053	2.78065597615665	2.47682938543063	4.66995831292498	3.00508293416799	0.731213427197045	4.03645294600653	5.03037591930755	1.53171498767256	3.9537892284025	2.50317725040154	2.81743022062315	2.87356889600074	2.23497333346992	1.49737755962329	0.330656931563192	1.7256846961102	3.96936226088277	4.35130574991429	1.70972604787685	1.36647495759649	1.21606455207791	2.21480737629821	3.92324441831563	3.5882365529085	3.0621555168032	0.917731137030786	2.44787160102326	2.87072673921629	3.00914509208186	1.80358705398156	2.45673319376527	1.43665449941481	4.24116154402271	1.85950101759787	2.10106533014162	2.9947183673619	1.55529016523479	0.90652725132498	2.56083063075862	1.9589354954837	2.55424466316749	3.41406821472199	2.81630433580778	4.16677322726233	4.49733652041156	2.18359937945339	1.27423886162562	3.71805828120793	2.46645134074895	2.9930475360372	1.242351168402	2.64542032705467
ENSG00000017260.19	3.49780626976002	5.92279250420813	4.69913995440689	5.03367922833581	5.3188861981347	4.71487597800155	5.12292668531535	4.86668553030774	4.72986448706304	3.88086538270395	3.88091091177619	4.40950459772722	4.13309256999499	5.10213493254781	4.80109165755249	4.41135978657748	4.5728170057032	4.99929580450675	5.00625707947891	4.54400087256708	3.29674982212631	5.02790594401751	4.36283156212445	5.19686497318544	5.28230414200893	5.00607992679417	4.98424385887904	4.32955604862947	5.73969976472219	4.41183455263711	4.2319565251295	4.06818634124945	5.87773513473381	4.93514838851237	4.77322783575996	4.78365510609572	4.64735312816256	3.54263453843685	4.87806177967986	4.54401104759355	4.78843512302108	3.74660363469459	3.28263112647511	5.3681953604331	4.59760357894533	4.31567946145363	5.12031431150871	4.74391028642508	5.09244370605378	5.83034287381598	5.26057216617035	5.29855047992262	4.79679791137212	4.87720737500618	4.52381130107677	4.21897152735503	5.94275704607735	4.87078475795429	5.01569150118539	4.04872035154094	3.60843576866274	3.94569936782212	4.7148034623939	3.32771131127718	4.90957635604368	4.44391426994034	4.75469658279394	5.19654852102745	4.66526718732824	4.51911949170101	4.67087592538129	4.55952703665152	5.52081591610858	5.16378594631509	4.80062246045486	4.95336144030442	5.01451814688097	3.6103268382697	4.29932307736813	4.98295650258072	4.44613325885806	4.9500038230983	4.47931437721546	5.25811801984466	4.86017691401756	4.4473131879522	5.12095166134632	5.39387435102186	4.90506734136377	4.92174461239034	4.86157776738993	4.92415476659319	4.49763950833227	4.60553880909163	5.53942420534225	5.28981530185856	4.6725701828999	5.48970717515024	3.41445963834215	4.82737636545719	4.62906166523987	5.03686965448456
ENSG00000017427.15	0.755895855690171	0.633769994899659	2.22005782731262	3.46660391079914	2.23812820524256	3.50692427843998	0.932373281903119	4.04603806686928	1.03983289247264	1.7263604098238	1.03718613927522	0.498672363246859	1.44037113233774	1.29662481952705	0.395069153579754	1.37503805106771	2.04168597417044	2.41262877013803	0.449354312847359	3.64957277063694	1.53582209385262	3.65248718987936	2.93607459953432	0.688576894072448	2.16724995195408	2.53587808482976	3.59162641902363	2.24363273891296	1.71857218046829	2.4765126297924	0.808051545371844	0.327218995723128	0.0410460750700106	0.067997519094883	0.402274282223248	2.13189794428648	1.18003380367198	1.04952699793759	0.596187246788959	2.99382936081946	1.73735744417438	0.212537934475148	0.821041074095946	1.07452225740212	2.02214060447532	2.76060485491322	0.912260534499192	1.88222708910261	0.964106119378651	1.33783180147374	2.67995827249001	0.687253096888119	1.19288948052406	2.76796840379051	2.709512239979	0.835255884775465	1.76994255861549	2.37441166147831	1.45367341970823	1.87089490856081	0.209915165170119	0.825688530410341	3.06062932851377	0.59925455098162	2.8179056178779	3.8390551427239	0.459777408757139	0.26199555775708	4.08769460537106	0.739073884760347	2.65358690749245	5.16479953063339	0.189581134363898	0.339583983598429	2.02173611321754	4.69733829121442	1.8606068943649	2.24238895843519	1.62910831194041	2.96617038230992	0.54906722219254	3.76490892073501	1.27549359336772	0.627568546676942	2.63852811838985	0.959518469452023	1.63239524484749	1.32406347539816	2.32259622069921	3.20001901369212	1.34925347235896	1.52667984603211	0.438406249275449	0.514857653059226	0.321466526993915	1.31764867072732	1.89679547682765	0.31168665458654	3.40598851785979	0.976592682148621	1.84454755536824	1.99023172941532
ENSG00000020426.10	4.6726203484022	2.89724341409474	4.12809870684741	3.51104879727478	3.88538698721309	3.31745521126055	3.76494638829197	3.20546026334031	4.81810756829699	3.15287539637656	3.79498625119026	3.84314295705227	3.52897368436381	3.48184395710295	3.74766533436412	3.74036009922884	3.3862864723944	2.851583651574	4.12621165650758	3.85670602551523	4.915833470622	4.12126909438066	3.39680465459752	5.17496005791399	3.49256648778558	3.95899698694999	4.15501002975431	3.47892693026647	4.01008509716479	3.11359683396883	4.15408402948654	4.02253023064125	3.57039127002423	3.57360864343297	4.01922215649864	3.38494175429798	4.31566717906249	3.28119243700061	5.26440804450687	3.19083608878411	3.47754468637248	3.31547461948165	3.59784480330761	4.15450247803506	3.96791705040332	3.62919242512683	3.74797120607281	4.38538687312107	3.37242163514511	3.54780743691113	4.05696775653393	3.9272834250413	4.10945888575935	4.06972203614496	3.86804161289966	2.81248002463746	2.96202756077494	3.75504204806044	3.00783571210509	3.27738859005059	4.55563105562412	4.45065523185743	4.29104938336098	3.35011187665279	4.13126869972025	2.81301206232673	4.2815006254119	3.51654348262435	4.30648937302746	3.74918689417662	3.26228972706525	3.6467277963733	3.17270847998919	3.95226637492445	3.23488586215398	2.69571502852607	3.93221638617456	2.92611048399381	3.73191516031739	3.6053070584847	3.54592693868512	3.42164904394941	3.49193662838273	4.00765589567945	3.48057561430455	3.42508350439773	3.77876141077676	4.21715805782003	3.53584117420519	4.22923538814186	3.7120699660969	4.04731450541477	3.47390861391796	2.69404486483343	3.73123045651703	4.8534998442908	4.29618915865344	3.34313252909856	3.05718491086276	2.86346330494957	3.99091172241109	4.65105096420939
ENSG00000039139.9	2.012054404033	0.418355880419568	1.21170913050983	1.49479676378169	1.33350819243844	1.31067521064735	1.0768557037758	1.05886813369055	1.17857566610128	0.501945961876619	2.11082660324662	0.35525679739512	1.78531302704127	1.31122303640765	1.18269896405943	1.30120201787442	0.999268452527678	0.630671825745877	0.386206373947615	1.11314111732952	0.0988759543271873	0.998295533953633	0.680617493725873	0.394920464856021	1.10631250207779	1.09060389801974	0.46888479908013	1.47754928230191	0.290413331638136	0.259083513922541	0.154697048624691	1.07019454911574	1.88223778720714	1.3416431990249	0.399661457914074	0.991666741316012	2.16350582766249	1.08652063515142	0.723140890464129	0.890597661294252	0.983625427282826	0.0866334005114843	1.20658184457456	0.500823244417024	0.775461619779584	0.577913612735715	1.56087079950701	1.15542839476226	0.726043948142989	1.02674972627463	1.30053400191998	1.4293099338885	0.780127146817094	1.21731568159472	1.94756012876937	0.35493663581522	0.300950999708506	1.93526683443804	0.82277068580571	0.971024731399178	2.61378300813359	0.14789821356702	1.49786362242464	1.51237170688258	2.97528256072278	1.65345841283851	0.209489577583557	0.0498633016597196	1.07756365122999	0.545847069488606	0.8188902966443	0.496313940153508	0.145946768483692	0.362362835110857	0.824629351670953	0.974851632669188	1.18463138361603	0.072323278531237	1.61571129244015	1.25656227158303	0.987281387825869	0.700270290781179	0.718893803766668	1.25889219289298	1.12877876319474	1.12483178587699	2.68055349115194	1.47625602670655	1.44513566350401	0.715383786496703	0.924538760291206	2.13047353670478	0.908224547056742	0.368301471684295	0.0498633016597196	0.19911251776938	2.03067294073578	0.0937282731874717	0.793925908054319	1.87731575736754	1.7789458096732	1.05090390641932
ENSG00000046653.14	0.283059145623492	4.84983365964712	2.16377487173658	2.80314810962918	5.99241562959995	2.89241104435847	0.906456779824968	3.19105981317822	4.80759957185117	0.463981423700743	0.674204314374781	0.672555568345742	4.08880114329047	1.78917358693604	1.03946611567852	0.499154298637783	2.63200743660874	1.81486226296609	1.08543799120612	3.87456926166617	2.07979319780049	4.18572486683977	2.90679578766544	1.73463471487177	1.13544989131812	1.85618393641305	1.51623121869996	1.75284025494772	3.67822763215292	1.66630118372323	1.003951413016	0.727432873195433	5.24304408306052	0.370505468322113	0.452944844917033	3.93011517969118	1.11972334602531	1.31800323055396	0.589480561486177	2.31073058343586	1.90924835785991	3.91648324015937	1.14866250589524	1.84973511140366	0.968796935817361	4.33990590624124	4.24164500365091	0.638416699702007	0.714169682604802	0.804348636536518	1.40389422167054	0.831223219651366	0.804811146137053	0.65129761822733	2.59606455134839	2.83298754961056	4.91242827546215	3.29406639573219	1.75433736067492	1.59744651820588	0.558180596787947	1.44551587472867	1.91391501784938	0.884169702654314	2.52675332880894	2.80896455655962	4.53323921709713	3.92709635860176	3.882610037245	0.749357465890837	0.966337767936418	3.05445443984318	3.79054166215878	1.42645130324648	2.07410129592746	2.08983808136942	1.84278313991941	1.70035178443371	2.3129458718535	1.11179055149864	1.41594807956325	1.99385343677642	3.99734765834139	1.40552090618259	1.26108245128398	1.83116058121521	2.31843908792683	4.58328337512256	1.63739279246674	1.62641245431699	0.911554402408776	1.24086156159064	0.662987518314529	1.13782658560071	2.63335957292071	1.40761034860784	2.28127192638697	2.15502750746463	2.87518530152961	1.12234654819202	3.12820761505344	1.57641517548015
